================================================================================
ФАКТИЧЕСКАЯ СХЕМА ПРОД-БАЗЫ UpStat.pro
================================================================================
Источник      : сервер upstat (78.40.109.8), контейнер fastapi-postgres-1
База          : saas, схема public, пользователь saas_user
Снято         : 2026-08-20 16:19 UTC
Запрос        : SELECT table_name, column_name, data_type, is_nullable,
                       column_default
                  FROM information_schema.columns
                 WHERE table_schema='public'
                 ORDER BY table_name, ordinal_position;
alembic_version: 021
Таблиц        : 46 (45 из app/models.py + alembic_version)
Колонок       : 528

Файл снят только для чтения. Никаких изменений в базу не вносилось.
Дамп на сервере: /home/ubuntu/fastapi/backup_2026-08-20.dump (807 851 байт, -Fc)
================================================================================

         table_name          |        column_name        |          data_type          | is_nullable |                     column_default                      
-----------------------------+---------------------------+-----------------------------+-------------+---------------------------------------------------------
 action_patterns             | id                        | integer                     | NO          | nextval('action_patterns_id_seq'::regclass)
 action_patterns             | team_id                   | integer                     | NO          | 
 action_patterns             | stage                     | character varying           | NO          | 
 action_patterns             | pattern_text              | character varying           | NO          | 
 action_patterns             | outcome                   | character varying           | NO          | 
 action_patterns             | occurrence_count          | integer                     | NO          | 
 action_patterns             | total_calls               | integer                     | NO          | 
 action_patterns             | percentage                | double precision            | NO          | 
 action_patterns             | status                    | character varying           | NO          | 
 action_patterns             | reported_at               | timestamp without time zone | YES         | 
 action_patterns             | created_at                | timestamp without time zone | NO          | 
 action_patterns             | updated_at                | timestamp without time zone | NO          | 
 alembic_version             | version_num               | character varying           | NO          | 
 analysis_training_plans     | id                        | integer                     | NO          | nextval('analysis_training_plans_id_seq'::regclass)
 analysis_training_plans     | user_id                   | integer                     | NO          | 
 analysis_training_plans     | report_message_id         | integer                     | NO          | 
 analysis_training_plans     | title                     | character varying           | NO          | 
 analysis_training_plans     | recommendations_json      | text                        | NO          | 
 analysis_training_plans     | total_trainings           | integer                     | NO          | 
 analysis_training_plans     | completed_trainings       | integer                     | NO          | 
 analysis_training_plans     | status                    | character varying           | NO          | 
 analysis_training_plans     | created_at                | timestamp without time zone | NO          | 
 analysis_training_plans     | plan_source               | character varying           | YES         | 'analysis'::character varying
 analytics_messages          | id                        | integer                     | NO          | nextval('analytics_messages_id_seq'::regclass)
 analytics_messages          | user_id                   | integer                     | NO          | 
 analytics_messages          | role                      | character varying           | NO          | 
 analytics_messages          | text                      | text                        | NO          | 
 analytics_messages          | created_at                | timestamp without time zone | NO          | now()
 attachments                 | id                        | integer                     | NO          | nextval('attachments_id_seq'::regclass)
 attachments                 | message_id                | integer                     | NO          | 
 attachments                 | file_name                 | character varying           | NO          | 
 attachments                 | mime_type                 | character varying           | NO          | 
 attachments                 | size_bytes                | integer                     | NO          | 
 attachments                 | storage_key               | character varying           | NO          | 
 attachments                 | created_at                | timestamp without time zone | NO          | 
 checklist_item_definitions  | id                        | integer                     | NO          | nextval('checklist_item_definitions_id_seq'::regclass)
 checklist_item_definitions  | checklist_id              | character varying           | NO          | 
 checklist_item_definitions  | checklist_title           | character varying           | NO          | 
 checklist_item_definitions  | block_title               | character varying           | NO          | 
 checklist_item_definitions  | block_order               | integer                     | NO          | 
 checklist_item_definitions  | item_order                | integer                     | NO          | 
 checklist_item_definitions  | item_text                 | text                        | NO          | 
 checklist_item_definitions  | item_code                 | character varying           | NO          | 
 checklist_item_definitions  | weight                    | double precision            | NO          | 
 checklist_item_definitions  | is_active                 | boolean                     | NO          | true
 checklist_item_definitions  | created_at                | timestamp without time zone | NO          | now()
 checklist_item_scores       | id                        | integer                     | NO          | nextval('checklist_item_scores_id_seq'::regclass)
 checklist_item_scores       | conversation_id           | integer                     | NO          | 
 checklist_item_scores       | item_id                   | integer                     | NO          | 
 checklist_item_scores       | passed                    | boolean                     | NO          | 
 checklist_item_scores       | confidence                | double precision            | NO          | 
 checklist_item_scores       | ai_comment                | text                        | YES         | 
 checklist_item_scores       | created_at                | timestamp without time zone | NO          | now()
 conversations               | id                        | integer                     | NO          | nextval('conversations_id_seq'::regclass)
 conversations               | user_id                   | integer                     | NO          | 
 conversations               | title                     | character varying           | NO          | 
 conversations               | created_at                | timestamp without time zone | NO          | 
 crm_activities              | id                        | integer                     | NO          | nextval('crm_activities_id_seq'::regclass)
 crm_activities              | integration_id            | integer                     | NO          | 
 crm_activities              | bitrix_id                 | integer                     | NO          | 
 crm_activities              | type_id                   | integer                     | YES         | 
 crm_activities              | type_name                 | character varying           | YES         | 
 crm_activities              | subject                   | character varying           | YES         | 
 crm_activities              | description               | text                        | YES         | 
 crm_activities              | owner_type_id             | integer                     | YES         | 
 crm_activities              | owner_id                  | integer                     | YES         | 
 crm_activities              | responsible_id            | integer                     | YES         | 
 crm_activities              | responsible_name          | character varying           | YES         | 
 crm_activities              | direction                 | integer                     | YES         | 
 crm_activities              | completed                 | boolean                     | NO          | 
 crm_activities              | start_time                | timestamp without time zone | YES         | 
 crm_activities              | end_time                  | timestamp without time zone | YES         | 
 crm_activities              | duration_seconds          | integer                     | YES         | 
 crm_activities              | created_at                | timestamp without time zone | YES         | 
 crm_activities              | crm_metadata_json         | text                        | YES         | 
 crm_activities              | synced_at                 | timestamp without time zone | NO          | 
 crm_companies               | id                        | integer                     | NO          | nextval('crm_companies_id_seq'::regclass)
 crm_companies               | integration_id            | integer                     | NO          | 
 crm_companies               | bitrix_id                 | integer                     | NO          | 
 crm_companies               | title                     | character varying           | YES         | 
 crm_companies               | industry                  | character varying           | YES         | 
 crm_companies               | phone                     | character varying           | YES         | 
 crm_companies               | email                     | character varying           | YES         | 
 crm_companies               | web                       | character varying           | YES         | 
 crm_companies               | revenue                   | double precision            | YES         | 
 crm_companies               | currency_id               | character varying           | YES         | 
 crm_companies               | assigned_by_id            | integer                     | YES         | 
 crm_companies               | assigned_by_name          | character varying           | YES         | 
 crm_companies               | created_at                | timestamp without time zone | YES         | 
 crm_companies               | updated_at                | timestamp without time zone | YES         | 
 crm_companies               | crm_metadata_json         | text                        | YES         | 
 crm_companies               | synced_at                 | timestamp without time zone | NO          | 
 crm_contacts                | id                        | integer                     | NO          | nextval('crm_contacts_id_seq'::regclass)
